symbol,datetrade,dateexpiration,contractsize,initmargin
GC=F,2000-09,2000-09-16,507,15328.966057464864
GC=F,2000-10,2000-10-17,506,15330.30015289417
GC=F,2000-11,2000-11-16,510,15330.240537108379
GC=F,2000-12,2000-12-16,507,15329.25193136278
GC=F,2001-01,2001-01-17,505,15326.948735306973
GC=F,2001-02,2001-02-16,506,15327.625794054282
GC=F,2001-03,2001-03-16,505,15329.498122176541
GC=F,2001-04,2001-04-17,506,15328.67264465947
GC=F,2001-05,2001-05-16,509,15331.153115285164
GC=F,2001-06,2001-06-16,507,15331.286071678162
GC=F,2001-07,2001-07-17,508,15328.125641270713
GC=F,2001-08,2001-08-16,506,15330.279634815573
GC=F,2001-09,2001-09-19,506,15328.467486180502
GC=F,2001-10,2001-10-16,509,15327.495679054337
GC=F,2001-11,2001-11-16,509,15327.506608195788
GC=F,2001-12,2001-12-18,505,15327.062995410093
GC=F,2002-01,2002-01-17,505,15328.915734434042
GC=F,2002-02,2002-02-16,505,15329.663257504311
GC=F,2002-03,2002-03-16,506,15326.52948279529
GC=F,2002-04,2002-04-16,510,15330.793564066973
GC=F,2002-05,2002-05-16,510,15330.715726922193
GC=F,2002-06,2002-06-18,510,15330.897866207433
GC=F,2002-07,2002-07-16,506,15328.356667178612
GC=F,2002-08,2002-08-16,509,15331.001577504248
GC=F,2002-09,2002-09-18,510,15330.935113556423
GC=F,2002-10,2002-10-16,509,15327.470760039705
GC=F,2002-11,2002-11-16,508,15329.758303644488
GC=F,2002-12,2002-12-17,507,15330.444045518507
GC=F,2003-01,2003-01-17,505,15330.03402823337
GC=F,2003-02,2003-02-18,507,15328.750464852701
GC=F,2003-03,2003-03-18,505,15329.521797661997
GC=F,2003-04,2003-04-16,506,15328.800140570404
GC=F,2003-05,2003-05-16,506,15326.678921357618
GC=F,2003-06,2003-06-17,510,15329.223679001721
GC=F,2003-07,2003-07-16,506,15327.452682666288
GC=F,2003-08,2003-08-16,505,15326.88514171972
GC=F,2003-09,2003-09-17,510,15330.807576642805
GC=F,2003-10,2003-10-16,508,15328.589606492436
GC=F,2003-11,2003-11-18,510,15331.038514302832
GC=F,2003-12,2003-12-16,506,15328.023970340104
GC=F,2004-01,2004-01-20,507,15329.790160922068
GC=F,2004-02,2004-02-17,507,15327.841277908661
GC=F,2004-03,2004-03-16,509,15327.556786325795
GC=F,2004-04,2004-04-16,510,15329.765702318538
GC=F,2004-05,2004-05-18,507,15329.000369213363
GC=F,2004-06,2004-06-16,509,15329.996829058964
GC=F,2004-07,2004-07-16,506,15330.043804652223
GC=F,2004-08,2004-08-17,505,15326.70843577216
GC=F,2004-09,2004-09-16,509,15328.049836899992
GC=F,2004-10,2004-10-16,505,15328.97786409679
GC=F,2004-11,2004-11-16,509,15327.057172616429
GC=F,2004-12,2004-12-16,506,15329.06697579946
GC=F,2005-01,2005-01-18,508,15327.711008061824
GC=F,2005-02,2005-02-16,505,15328.640184941645
GC=F,2005-03,2005-03-16,505,15326.96936411314
GC=F,2005-04,2005-04-16,509,15329.034238289234
GC=F,2005-05,2005-05-17,507,15328.359118353259
GC=F,2005-06,2005-06-16,506,15330.599266680505
GC=F,2005-07,2005-07-16,508,15327.884689841225
GC=F,2005-08,2005-08-16,507,15327.304010956304
GC=F,2005-09,2005-09-16,507,15331.253592677407
GC=F,2005-10,2005-10-18,510,15329.29171339368
GC=F,2005-11,2005-11-16,507,15329.789019968566
GC=F,2005-12,2005-12-16,508,15328.619597781526
GC=F,2006-01,2006-01-18,508,15329.850648412506
GC=F,2006-02,2006-02-16,505,15330.860131980584
GC=F,2006-03,2006-03-16,505,15328.994408666811
GC=F,2006-04,2006-04-18,507,15331.059974266576
GC=F,2006-05,2006-05-16,510,15327.364037836856
GC=F,2006-06,2006-06-16,508,15331.430596528673
GC=F,2006-07,2006-07-20,506,15328.39624953694
GC=F,2006-08,2006-08-16,507,15326.980429561347
GC=F,2006-09,2006-09-16,509,15329.54448662343
GC=F,2006-10,2006-10-17,509,15329.355853614748
GC=F,2006-11,2006-11-16,508,15327.429793821597
GC=F,2006-12,2006-12-16,510,15327.675957628679
GC=F,2007-01,2007-01-17,509,15329.520382619086
GC=F,2007-02,2007-02-16,506,15326.481294412972
GC=F,2007-03,2007-03-16,509,15329.710287939399
GC=F,2007-04,2007-04-17,509,15330.156036751885
GC=F,2007-05,2007-05-16,510,15326.789235623064
GC=F,2007-06,2007-06-16,508,15329.129196939475
GC=F,2007-07,2007-07-17,508,15331.144434438023
GC=F,2007-08,2007-08-16,505,15329.040223324371
GC=F,2007-09,2007-09-19,506,15328.552732694514
GC=F,2007-10,2007-10-16,509,15330.788524600235
GC=F,2007-11,2007-11-16,506,15330.457029008683
GC=F,2007-12,2007-12-18,505,15330.213749891618
GC=F,2008-01,2008-01-17,510,15326.82663980496
GC=F,2008-02,2008-02-16,509,15330.60386159806
GC=F,2008-03,2008-03-18,508,15328.652860388118
GC=F,2008-04,2008-04-16,507,15326.983121783498
GC=F,2008-05,2008-05-16,509,15330.022448972231
GC=F,2008-06,2008-06-17,508,15326.786964711016
GC=F,2008-07,2008-07-16,505,15329.543621989917
GC=F,2008-08,2008-08-16,507,15327.508116759947
GC=F,2008-09,2008-09-17,507,15329.342815635357
GC=F,2008-10,2008-10-16,507,15331.361900457685
GC=F,2008-11,2008-11-18,508,15329.61124169285
GC=F,2008-12,2008-12-16,508,15330.293932988787
GC=F,2009-01,2009-01-17,505,15328.455385477277
GC=F,2009-02,2009-02-17,507,15329.865849521746
GC=F,2009-03,2009-03-17,507,15331.225086897079
GC=F,2009-04,2009-04-16,510,15327.921403112563
GC=F,2009-05,2009-05-16,505,15330.636929522789
